# XviD 2pass stat file (core version 1.1.2)
# Please do not modify this file

i 2 608 0 0 1721 1721
b 4 0 608 0 939 142
b 4 0 608 0 185 100
p 2 0 54 554 740 203
b 4 0 608 0 279 174
b 4 0 608 0 345 183
p 2 0 118 490 1414 255
b 4 0 608 0 580 296
b 4 0 608 0 571 303
p 2 0 180 428 2335 336
b 4 0 608 0 894 324
b 4 0 608 0 1218 355
p 2 0 196 412 937 400
b 4 0 608 0 1319 414
b 4 0 608 0 1782 446
p 2 0 268 340 3736 458
b 4 0 608 0 2285 615
b 4 0 608 0 2636 582
p 2 0 337 271 6244 650
b 4 0 608 0 3392 673
b 4 0 608 0 3921 688
p 2 7 372 229 8658 833
b 4 0 608 0 5237 783
b 4 0 608 0 593 588
p 2 0 410 198 11124 861
b 4 0 608 0 6341 876
b 4 0 608 0 7426 884
p 2 5 419 184 15185 1006
b 4 0 608 0 9415 1043
b 4 0 608 0 10268 1032
p 2 1 467 140 21524 1104
b 4 0 608 0 13996 1280
p 2 5 511 92 28722 1231
b 4 0 608 0 17693 1401
b 4 0 608 0 1061 1013
p 2 3 534 71 33346 1296
b 4 0 608 0 21122 1425
p 2 13 538 57 40604 1383
b 4 0 608 0 25565 1637
p 2 12 555 41 52263 1442
b 4 0 608 0 32361 1777
p 2 10 565 33 61036 1531
p 2 8 576 24 67862 1539
p 2 13 568 27 74186 1595
p 2 13 574 21 81955 1594
p 2 41 533 34 3451 1424
b 4 0 608 0 54176 1691
p 2 0 579 29 97429 1165
p 2 33 556 19 104170 1673
p 2 15 574 19 114970 1635
p 2 27 562 19 119996 1649
p 2 21 569 18 127514 1559
p 2 17 573 18 140031 1554
p 2 15 575 18 147664 1547
p 2 15 574 19 153352 1524
p 2 17 574 17 163930 1526
i 2 608 0 0 1948 1724
b 4 0 608 0 106054 1375
p 2 0 589 19 174579 651
p 2 64 526 18 188857 1662
i 2 608 0 0 1890 1724
b 4 0 608 0 86 86
p 2 0 83 525 714 169
